SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ERFLNCDI,N5,04-Apr-2018,1006.99,1010.00,1010.00,1008.00,1008.00,1008.66,1009.88,505,5.10,8,505,100.00
ERFLNCDI,N6,04-Apr-2018,1004.01,1007.00,1015.00,1006.00,1015.00,1015.00,1012.89,559,5.66,17,531,94.99
ERIS,EQ,04-Apr-2018,803.50,810.00,810.00,779.40,779.40,785.25,798.30,15692,125.27,1158,6295,40.12
EROSMEDIA,EQ,04-Apr-2018,173.00,174.00,177.40,171.10,172.40,172.35,174.67,354600,619.39,4966,134575,37.95
ESABINDIA,EQ,04-Apr-2018,728.00,739.95,740.00,712.05,712.05,713.50,723.94,9277,67.16,487,6714,72.37
ESCORTS,EQ,04-Apr-2018,885.35,891.30,904.20,870.00,871.00,872.60,888.43,1535824,13644.79,30703,205870,13.40
ESL,EQ,04-Apr-2018,2.60,2.70,2.70,2.70,2.70,2.70,2.70,408145,11.02,108,408145,100.00
ESSARSHPNG,EQ,04-Apr-2018,23.50,23.90,24.50,23.10,23.30,23.20,23.68,34024,8.06,155,14991,44.06
ESSDEE,BE,04-Apr-2018,49.95,52.00,52.40,51.40,52.40,52.40,52.38,5767,3.02,52,-,-
ESSELPACK,EQ,04-Apr-2018,253.05,255.80,259.00,248.00,249.80,250.35,254.23,36038,91.62,1436,17082,47.40
ESTER,EQ,04-Apr-2018,73.30,76.00,76.95,71.15,73.20,73.15,74.68,379874,283.70,2772,236623,62.29
EUROCERA,EQ,04-Apr-2018,5.45,5.50,5.50,5.30,5.45,5.40,5.41,56935,3.08,78,51170,89.87
EUROTEXIND,EQ,04-Apr-2018,34.95,37.00,37.35,35.30,36.55,36.60,36.82,6876,2.53,28,5217,75.87
EVEREADY,EQ,04-Apr-2018,382.85,382.00,385.40,377.00,382.00,381.80,381.57,24981,95.32,942,11424,45.73
EVERESTIND,EQ,04-Apr-2018,498.60,502.00,521.00,490.00,493.00,493.95,506.93,52284,265.04,2198,28029,53.61
EXCEL,EQ,04-Apr-2018,18.30,17.65,19.20,17.65,19.00,19.10,18.78,73915,13.88,233,65037,87.99
